LOGS:

 Sat Jun 22 2024 11:21:01 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:21:29 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:27:34 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:32:47 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:32:55 GMT+0530 (India Standard Time) , ::1 , GET , /api/v1/users/find-user , localhost
 Sat Jun 22 2024 11:34:58 GMT+0530 (India Standard Time) , ::1 , GET , /api/v1/users/find-user , localhost
 Sat Jun 22 2024 11:38:35 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/register , localhost
 Sat Jun 22 2024 11:38:47 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:39:07 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:40:10 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:40:18 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:40:22 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:40:40 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:40:55 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:41:01 GMT+0530 (India Standard Time) , ::1 , GET , /api/v1/users/find-user , localhost
 Sat Jun 22 2024 11:41:05 GMT+0530 (India Standard Time) , ::1 , GET , /api/v1/users/find-user , localhost
 Sat Jun 22 2024 11:41:36 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/register , localhost
 Sat Jun 22 2024 11:41:40 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:41:45 GMT+0530 (India Standard Time) , ::1 , GET , /api/v1/users/find-user , localhost
 Sat Jun 22 2024 11:41:58 GMT+0530 (India Standard Time) , ::1 , GET , /api/v1/users/find-user , localhost
 Sat Jun 22 2024 11:49:11 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/register , localhost
 Sat Jun 22 2024 11:49:15 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/register , localhost
 Sat Jun 22 2024 11:49:27 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:49:31 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:49:40 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:49:48 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 11:49:54 GMT+0530 (India Standard Time) , ::1 , GET , /api/v1/users/find-user , localhost
 Sat Jun 22 2024 11:55:54 GMT+0530 (India Standard Time) , ::1 , GET , /api/v1/users/find-user , localhost
 Sat Jun 22 2024 11:55:59 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 12:05:09 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 12:05:13 GMT+0530 (India Standard Time) , ::1 , GET , /api/v1/users/find-user , localhost
 Sat Jun 22 2024 12:10:05 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/register , localhost
 Sat Jun 22 2024 12:10:13 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/register , localhost
 Sat Jun 22 2024 12:10:22 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 12:10:26 GMT+0530 (India Standard Time) , ::1 , POST , /api/v1/users/login , localhost
 Sat Jun 22 2024 12:10:33 GMT+0530 (India Standard Time) , ::1 , GET , /api/v1/users/find-user , localhost
 Sat Jun 22 2024 12:10:44 GMT+0530 (India Standard Time) , ::1 , GET , /api/v1/users/find-user , localhost
 Sat Jun 22 2024 12:11:17 GMT+0530 (India Standard Time) , ::1 , GET , /api/v1/users/find-user , localhost
